OBJECTID,Status,Address,YearBuilt,BuildingName,ArchitecturalStyle,DesignationPart,HeritageConservationDistrict,ByLaw,ShapeSTArea,ShapeSTLength
5992,Listed Heritage Property,857 Adelaide St N,1886, ,Queen Anne Cottage, , , ,596.36940696,115.294978337651
5993,Designated Heritage Property,862 Waterloo St,1924,Copeland Property,Shingle,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,1206.7024768,184.02056168024
5994,Designated Heritage Property,326 St James St,1896, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3225415,390.37761736,81.2173074001433
5995,Designated Heritage Property,800 Hellmuth Ave,1904c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,482.3851728,109.899311531006
5996,Listed Heritage Property,446 Piccadilly St,1900c, ,High Victorian, , , ,491.48325744,120.321888388338
5997,Listed Heritage Property,11 Chalmers St,1933, ,Tudor Revival, , , ,529.05302256,120.934195994981
5998,Designated Heritage Property,272 Grosvenor St,1935c, ,Colonial Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,392.94743904,87.0086762282211
5999,Designated Heritage Property,862 Wellington St,1900, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,544.5654056,113.070714190931
6000,Listed Heritage Property,2598 Dundas St,1865, ,Ontario Cottage, , , ,2336.32865208,212.656292270075
6001,Designated Heritage Property,798 Hellmuth Ave,1904,Parks Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,468.99100664,109.290463412184
6002,Designated Heritage Property,866 Wellington St,1910c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,807.88791024,124.980169548808
6003,Designated Heritage Property,766 Hellmuth Ave,1902c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,321.4566632,81.6244072688124
6004,Listed Heritage Property,510 Piccadilly St,1895c, ,High Victorian, , , ,593.5704852,121.749950821423
6005,Listed Heritage Property,272 Huron St,1925c, ,Eclectic, , , ,1027.3193864,178.20089402554
6006,Designated Heritage Property,804 Hellmuth Ave,1900,Springham Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,803.98510376,124.523836663141
6007,Listed Heritage Property,220 St James St,1872,Harris Property,Eclectic, , , ,2713.69439176,214.744883049425
6008,Listed Heritage Property,270 Cheapside St,1876, ,Regency, , , ,323.13237456,77.404058668534
6009,Designated Heritage Property,799 Waterloo St,1897,Morrison Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,672.14419208,118.666986911871
6010,Listed Heritage Property,427 Regent St,1930,Kirkness Property,Eclectic, , , ,835.02069544,140.115560528914
6011,Designated Heritage Property,836 Wellington St,1907, ,Late Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP325029,606.26996096,115.860786483553
6012,Listed Heritage Property,1579-1589 Fanshawe Park Rd E,1865, ,Gothic Revival, , , ,34570.64469184,893.544697678869
6013,Listed Heritage Property,32 Alma St,1850c, , , , , ,510.248406,97.4221514813693
6014,Designated Heritage Property,860 Waterloo St, ,Extendicare, ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,10325.73008064,528.54371399674
6015,Listed Heritage Property,65 Thornton Ave,1914,Grierson Property,Queen Anne, , , ,554.59148928,115.387225421702
6016,Listed Heritage Property,1880 Kilally Rd,1860,The Spinney, , , , ,41251.17025928,1063.18913926753
6017,Designated Heritage Property,769 Hellmuth Ave,1902, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,469.43520296,108.565207487999
6018,Listed Heritage Property,517 St James St,1900, ,Vernacular, , , ,540.08033856,114.557379416886
6019,Listed Heritage Property,262 Regent St,1930c, ,Georgian Revival, , , ,652.50412144,112.952690389232
6020,Listed Heritage Property,447 Piccadilly St,1885c, ,Ontario Cottage, , , ,959.67017192,140.88704991698
6021,Listed Heritage Property,460 Piccadilly St,1892c, ,High Victorian, , , ,497.4018032,103.332840816298
6022,Listed Heritage Property,1204 Richmond St,1906,St. Luke's Church,Gothic Revival, , , ,1763.8628176,168.831715689775
6023,Designated Heritage Property,336 St James St,1925c, ,Neo-classical,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,472.39289456,101.826223321157
6024,Listed Heritage Property,346 St James St,1888,Adkin Property,High Victorian, , , ,901.01205496,140.346570469545
6025,Listed Heritage Property,342 St James St,1835c, ,Vernacular, , , ,308.51301888,89.0090294479736
6026,Listed Heritage Property,836 Richmond St,1910, ,Eclectic, , , ,357.84614176,88.442470916948
6027,Designated Heritage Property,266 Oxford St E, ,Medical Building, ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,733.97298926,120.115655314479
6028,Listed Heritage Property,443 Regent St,1933, ,Georgian Revival, , , ,718.50649832,135.891826134505
6029,Designated Heritage Property,832 Wellington St,1896, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,351.04297104,104.447820445166
6030,Designated Heritage Property,868 Waterloo St,1912,Brown Property,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,905.03513696,131.008423973736
6031,Listed Heritage Property,306 Huron St,1920,Yurkevich Property,Tudor Revival, , , ,556.10436752,115.707524255246
6032,Designated Heritage Property,270 St James St,1910c, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,613.92742724,111.445825628087
6033,Listed Heritage Property,440 Regent St,1930,Wolfe Property,Tudor Revival, , , ,1151.01573328,143.19469127061
6034,Listed Heritage Property,1000 Wellington St,1899, , , , , ,512.72245312,94.7092315465607
6035,Listed Heritage Property,745 Waterloo St,1884c, ,Italianate, , , ,379.47714384,91.2869661666258
6036,Designated Heritage Property,304 Oxford St E,1902c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,236.25671454,68.930546450974
6037,Listed Heritage Property,268 Grosvenor St,1892,Hospital Chapel,Romanesque Revival, , , ,29989.0730441,701.297355366735
6038,Listed Heritage Property,267 Regent St,1913c, ,Ontario Farmhouse, , , ,262.459788,70.8693087694422
6039,Designated Heritage Property,340 Grosvenor St,1906c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,344.76275912,85.9881149530216
6040,Listed Heritage Property,1011 Wellington St,1926,Lee Property,Tudor Revival, , , ,2674.2072424,257.927343030352
6041,Listed Heritage Property,18 Chalmers St,1933, ,Tudor Revival, , , ,597.5984244,107.212174936628
6042,Listed Heritage Property,15 Chalmers St,1933, ,Tudor Revival, , , ,532.3627592,121.066562072573
6043,Listed Heritage Property,414 Regent St,1920,Burch Property,Tudor Revival, , , ,426.86360816,94.4482408247612
6044,Designated Heritage Property,830-830/ Waterloo St,1870c,Home Of Hiram Lee,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,462.44555072,88.709063956454
6045,Designated Heritage Property,861 Waterloo St,1904, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,382.59825344,105.913693047839
6046,Designated Heritage Property,786 Wellington St,1904, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3168299,606.7226152,115.719209087026
6047,Designated Heritage Property,290 St James St,1907, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3186133,432.118908,87.4685080441466
6048,Listed Heritage Property,222 Epworth Ave,1900c, ,Tudor Revival, , , ,1320.11266288,172.755874917689
6049,Listed Heritage Property,260 Huron St,1916, ,Georgian Revival, , , ,878.1789532,145.883323961569
6050,Listed Heritage Property,365 St James St,1879,Macintyre Property,Italianate, , , ,445.08961528,136.35724414355
6051,Designated Heritage Property,280 Grosvenor St,1920c, ,Eclectic,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,409.77758448,114.314562615631
6052,Designated Heritage Property,785 Waterloo St,1898c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,449.52301384,108.668479602585
6053,Designated Heritage Property,798 Waterloo St,1878c, ,Italianate,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,407.52590416,104.416199596009
6054,Listed Heritage Property,370 Piccadilly St,1893c, ,Queen Anne, , , ,514.38017152,129.05229211029
6055,Designated Heritage Property,270 Sydenham St,1845c, ,Colonial Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,520.70552872,98.4358120804525
6056,Listed Heritage Property,456 Piccadilly St,1890c, ,High Victorian, , , ,615.80714992,109.425256816515
6057,Designated Heritage Property,306-306/ Oxford St E,1902c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,261.23957082,70.9114177597893
6058,Designated Heritage Property,836 Waterloo St,1935c, ,Tudor Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,1462.37321912,200.124350624561
6059,Designated Heritage Property,774 Waterloo St, ,Duplex, ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,623.4955768,101.863432205568
6060,Designated Heritage Property,774 Wellington St,1906, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,735.3757128,120.816810873048
6061,Designated Heritage Property,340 St James St,1910c, ,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,217.6796308,62.1533178896554
6062,Listed Heritage Property,10 Clenray Pl,1936, , , , , ,833.56809821,174.781637849013
6063,Listed Heritage Property,2100 Sunningdale Rd E,1880, ,Vernacular, , , ,206839.72188752,1993.1978848815
6064,Designated Heritage Property,857 Waterloo St,1905c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,261.03454468,100.463204092749
6065,Designated Heritage Property,870 Wellington St,1903, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3825226,570.48575032,114.242907035616
6066,Designated Heritage Property,835 Wellington St,1935c, ,Tudor Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,332.941646,86.3366804322537
6067,Listed Heritage Property,17 Clenray Pl,1934, , , , , ,347.514224135,82.0042939185933
6068,Designated Heritage Property,337 St James St,1910c,House,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,414.5221936,88.1718760247916
6069,Designated Heritage Property,775 Waterloo St, ,Office, ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,436.52588536,99.0287320122885
6070,Designated Heritage Property,802 Waterloo St,1905c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,389.8629392,103.588342324399
6071,Listed Heritage Property,857 William St,1904, , , , , ,474.8109608,92.8052536853536
6072,Designated Heritage Property,300 Oxford St E,1878,Home - Genl Wt Renwick,Italianate,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,721.47055168,123.016303137304
6073,Listed Heritage Property,270 Huron St,1915c, ,Eclectic, , , ,1277.14416576,185.10646257538
6074,Listed Heritage Property,525 Oxford St E,1912c, ,Tudor Revival, , , ,1109.23317136,134.586085535208
6075,Designated Heritage Property,300 Grosvenor St,1904c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,522.50329856,110.312914138176
6076,Designated Heritage Property,851 Hellmuth Ave,1902c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,540.56783856,113.06448385439
6077,Designated Heritage Property,795 Wellington St,1930, ,Colonial Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,470.50304844,92.2770490105993
6078,Designated Heritage Property,312 Oxford St E,1902c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,244.89447808,84.1099116398299
6079,Listed Heritage Property,7 Clenray Pl,1934, , , , , ,303.34207024,72.5101652845963
6080,Listed Heritage Property,1071 Colborne St,1925,Aquinas House,Collegiate Gothic,IV, ,LSP3319198,73509.63142923,1184.86168725926
6081,Designated Heritage Property,327 St James St,1907c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,250.82446818,77.4340511249507
6082,Listed Heritage Property,432 Piccadilly St,1886c, ,Late Victorian, , , ,1113.784268,171.999798260235
6083,Listed Heritage Property,255 Huron St,1915,Gunn Property,Arts And Crafts, , , ,675.13704912,119.110437837616
6084,Listed Heritage Property,2 Clenray Pl,1934, , , , , ,271.25690408,76.3287742350426
6085,Designated Heritage Property,803 Waterloo St,1910c, ,Tudor Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,463.9731864,91.3574907767396
6086,Designated Heritage Property,844 Wellington St,1910, ,Edwardian Classical,IV,Bishop Hellmuth Heritage Conservation District,LSP3184118,539.08498144,112.822352412184
6087,Designated Heritage Property,850 Waterloo St,1925c, ,Arts And Crafts,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,893.4170076,140.147997388693
6088,Designated Heritage Property,330 St James St,1906,Richman Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,414.79657664,98.8493045420113
6089,Listed Heritage Property,585 Grosvenor St,1875, ,Side-hall Plan (shp) Cottage, , , ,660.31332864,150.35676111093
6090,Designated Heritage Property,670 Oxford St E,1882c, , ,IV, ,LSP32935,2815.75986696,233.911075895086
6091,Listed Heritage Property,990 Wellington St,1961,Morgan Gardens, , , , ,5915.897778725,389.281742627892
6092,Designated Heritage Property,778 Hellmuth Ave,1906, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,509.18422656,111.118505586002
6093,Designated Heritage Property,879 Waterloo St,1902c,"Charles Eedy, Groces",Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,570.77461801,114.282703616396
6094,Listed Heritage Property,7 Chalmers St,1936, ,Tudor Revival, , , ,426.3937984,100.977765371885
6095,Designated Heritage Property,843 Wellington St,1905c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,504.31587872,96.6553030242583
6096,Listed Heritage Property,69 Thornton Ave,1914, ,Queen Anne, , , ,554.58459288,115.386757550746
6097,Designated Heritage Property,516 Grosvenor St,1931,Beukeboom Property,Edwardian,IV, ,LSP3232468,482.68096384,103.587409895173
6098,Listed Heritage Property,806 Maitland St,1920, ,Queen Anne, , , ,1039.629704,157.227680586425
6099,Designated Heritage Property,855 Waterloo St,1905c, ,Romanesque Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,256.454452,100.853103863776
6100,Listed Heritage Property,993 Waterloo St,1934,Munn Property,Tudor Revival, , , ,692.05535376,108.307965503926
6101,Designated Heritage Property,793 Wellington St,1985c, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,471.07451552,92.3141776396898
6102,Listed Heritage Property,1480-1490 Richmond St,1954,Mt St. Joseph Mthr Hs, , , , ,70971.975705365,1612.37863098219
6103,Listed Heritage Property,775 Colborne St,1885, ,Italianate, , , ,673.87259072,127.349817583835
6104,Designated Heritage Property,828 Waterloo St,1925c, ,Bungalow,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,199.54677544,56.6655334313662
6105,Designated Heritage Property,401 Huron St,1937,Lajoie Property,Colonial Revival,IV, ,LSP3385596,574.89558888,105.950511423724
6106,Designated Heritage Property,754 Waterloo St, ,Esso Station, ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,2668.221382,221.150642745552
6107,Listed Heritage Property,834 Richmond St,1914,Belton House,Eclectic, , , ,696.768492,109.357415310034
6108,Designated Heritage Property,294 Grosvenor St,1903, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,522.56233014,110.319959739218
6109,Listed Heritage Property,291 Huron St,1933, ,Tudor Revival, , , ,520.4886384,102.165248850323
6110,Designated Heritage Property,870 Hellmuth Ave,1904c,Anderson Property,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3261200,539.28430592,112.850812644283
6111,Listed Heritage Property,361 Cheapside St,1933,Crowley Property, , , , ,567.65713544,108.98432038056
6112,Designated Heritage Property,878 Hellmuth Ave,1910c, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,467.22753272,109.592810730798
6113,Designated Heritage Property,869 Waterloo St,1908c, ,Colonial Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,553.25680336,113.565613001441
6114,Designated Heritage Property,259 Sydenham St,1910c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,921.14279488,129.042463353577
6115,Designated Heritage Property,291-295 Epworth Ave,1935,Goodholme,Tudor Revival,IV, ,LSP2662294,26374.34216024,646.647098471809
6116,Listed Heritage Property,708 Maitland St,1907c,Gee Property,Late Victorian, , , ,802.46958936,135.824954028015
6118,Listed Heritage Property,"414-416 Piccadilly St, 722 Colborne St",1905c, ,High Victorian, , , ,343.91889904,76.4728346113796
6119,Designated Heritage Property,310 Oxford St E,1902c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,384.66263776,92.0823398032877
6120,Listed Heritage Property,489 St James St,1896,Benetti Property,Queen Anne Cottage, , , ,492.87808344,90.4851699696242
6121,Designated Heritage Property,808 Waterloo St,1872,Lella Property,Italianate,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,600.8451658,108.74048004736
6122,Listed Heritage Property,1010 Waterloo St,1925c, , , , , ,411.26069352,87.9126595278311
6123,Designated Heritage Property,787 Waterloo St,1898c,Snihurowych Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,448.16278256,108.575548826955
6124,Designated Heritage Property,318 Grosvenor St,1911, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,371.28539934,85.3068437173924
6125,Designated Heritage Property,776 Wellington St,1901, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,673.00438328,118.780584017845
6126,Designated Heritage Property,867 Hellmuth Ave,1905c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,540.0233624,112.974175920142
6127,Listed Heritage Property,270 Victoria St,1928, ,Spanish Colonial, , , ,530.83393688,100.161204453601
6128,Listed Heritage Property,1061 Waterloo St,1936,Snihurowych Property,Arts And Crafts, , , ,808.35792912,116.274926365534
6129,Listed Heritage Property,759 Maitland St,1898c,Slomer Property,Queen Anne, , , ,376.21521536,83.6373533061704
6130,Designated Heritage Property,790 Wellington St,1904, ,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,671.52700656,118.632737312237
6131,Listed Heritage Property,973 Waterloo St,1930, ,Prairie, , , ,606.09836456,115.668799931816
6132,Listed Heritage Property,747 Waterloo St,1881,Mckerlie Property,High Victorian, , , ,369.37151264,90.706435061788
6133,Designated Heritage Property,276 Grosvenor St,1926, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,374.23993384,85.7901838576801
6134,Designated Heritage Property,800 Waterloo St,1904,Quinton Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,393.1039488,103.740495888655
6135,Designated Heritage Property,260 Sydenham St,1930, ,Colonial Revival,IV,Bishop Hellmuth Heritage Conservation District,LSP311252,1124.6034352,143.109948930006
6136,Designated Heritage Property,766 Waterloo St,1905c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,408.70254976,99.8525348880116
6137,Listed Heritage Property,267 Victoria St,1923,Watson Property, , , , ,468.37933728,89.4173021322402
6138,Designated Heritage Property,793 Hellmuth Ave,1908,Gilkinson Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,503.31328784,110.957737545284
6139,Designated Heritage Property,783 Waterloo St,1898c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,673.51069232,118.847229871789
6140,Designated Heritage Property,880 Hellmuth Ave,1910c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,570.69750864,114.271413558876
6141,Listed Heritage Property,385 Huron St,1935, ,Tudor Revival, , , ,2598.18882696,276.634394848359
6142,Designated Heritage Property,788 Wellington St,1906, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,604.49992,115.605023094374
6143,Designated Heritage Property,250 St James St,1910,Handleman Property,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,536.9377172,95.8073419876204
6144,Listed Heritage Property,6 Clenray Pl,1932, , , , , ,460.34390616,104.787347427813
6145,Listed Heritage Property,1896 Sunningdale Rd E,1895, , , , , ,417595.44059088,2603.83855040959
6146,Listed Heritage Property,9 Chalmers St,1934, ,Tudor Revival, , , ,546.81021648,121.646366804732
6147,Designated Heritage Property,833 Wellington St,1925c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,336.39857464,86.5635064121108
6148,Listed Heritage Property,1588 Clarke Rd,1865, ,Ontario Farmhouse, , , ,156030.72388944,1640.39447094088
6149,Listed Heritage Property,15 Clenray Pl,1934, , , , , ,527.812567305,97.9706181944062
6150,Listed Heritage Property,1458 Huron St,1853,Flower House,Georgian, , , ,3630.52184848,241.217186111529
6151,Designated Heritage Property,310 Grosvenor St,1906c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,344.38343546,92.4139271934002
6152,Designated Heritage Property,775 Hellmuth Ave,1901, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,484.73153776,110.112934221734
6153,Listed Heritage Property,462 Piccadilly St,1892c, ,High Victorian, , , ,367.12647208,96.6297046038309
6154,Designated Heritage Property,1576 Richmond St,1926,Wibelsfield,Tudor Revival,IV, ,LSP3425263,2316.71314701,212.923132827012
6155,Designated Heritage Property,807 Waterloo St,1900, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,463.49872136,91.2959740698303
6156,Listed Heritage Property,1017 Waterloo St,1935c, ,Arts And Crafts, , , ,694.05574312,115.476694889249
6157,Designated Heritage Property,264 St James St,1909, ,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,692.17971714,117.121550836467
6158,Listed Heritage Property,279 Regent St,1931,Slinger Property,Tudor Revival, , , ,501.2881248,97.8050674956237
6159,Designated Heritage Property,864 Waterloo St,1912,Sharpe Property,Edwardian,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,765.79844666,124.914790628314
6160,Listed Heritage Property,1560 Fanshawe Park Rd E,1855c,Siloam Cemetery, , , , ,16290.98745992,511.286172674025
6161,Designated Heritage Property,986 Richmond St,1909,Mayville Property,Shingle,IV, ,LSP3224414,1124.4895712,178.102352223805
6162,Designated Heritage Property,316 Oxford St E, ,Shell Gas Station, ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,2499.03820824,216.388822826747
6163,Listed Heritage Property,20 Tallwood,1880c, ,Italianate, , , ,2383.9048044,197.131095758172
6164,Designated Heritage Property,777 Wellington St,1910c,Mclean Property,Prairie,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,499.64869184,99.3312008829286
6165,Listed Heritage Property,582 Grosvenor St,1896, ,Queen Anne, , , ,697.60062976,121.923503167626
6166,Designated Heritage Property,868 Hellmuth Ave,1909c,Ritchie Property, ,IV,Bishop Hellmuth Heritage Conservation District,LSP3204326,539.28881568,112.850812361108
6167,Listed Heritage Property,726 Colborne St,1883c, ,Ontario Cottage, , , ,469.1138832,104.196465475059
6168,Designated Heritage Property,849 Hellmuth Ave,1900c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,540.72313832,113.087985253191
6169,Designated Heritage Property,302 Grosvenor St,1910c, , ,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,559.52963632,116.406415401757
6170,Listed Heritage Property,870 William St,1878, , , , , ,511.00720776,123.010185801376
6171,Listed Heritage Property,975 Waterloo St,1927, ,Prairie, , , ,645.06220928,117.433724828335
6172,Designated Heritage Property,840 Wellington St,1906c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,472.08526896,109.791827411241
6173,Designated Heritage Property,781 Waterloo St,1898c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,673.97416024,118.907764525209
6174,Designated Heritage Property,335 St James St,1907c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,251.08144336,77.4510457946937
6175,Listed Heritage Property,920 Colborne St,1881, ,Side-hall Plan (shp) Cottage, , , ,603.34181888,134.486874174506
6176,Designated Heritage Property,791 Hellmuth Ave,1907c,Pederson Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,503.31905064,110.957971721816
6177,Designated Heritage Property,253 St James St,1832c, ,Tudor Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,581.41279782,116.755791810381
6178,Listed Heritage Property,598 Pall Mall St,1893c, ,Vernacular, , , ,626.5519252,100.540459624129
6179,Designated Heritage Property,789 Hellmuth Ave,1905c,Hughes Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,503.3134556,110.95750384666
6180,Designated Heritage Property,284 St James St,1904c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,543.3279092,105.487274008309
6181,Listed Heritage Property,1002 Wellington St,1904,Gilbert Property,Prairie, , , ,795.13580152,116.779724898785
6182,Designated Heritage Property,773 Hellmuth Ave,1906c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,445.19219952,108.317569915363
6183,Designated Heritage Property,274 Grosvenor St,1926, ,Bungalow,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,374.23935168,85.7902312325894
6184,Designated Heritage Property,865 Hellmuth Ave,1905c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,540.1500508,112.995945695951
6185,Designated Heritage Property,398 Piccadilly St,1902c, ,Queen Anne,IV, ,LSP3322-209,873.99376432,164.021644794173
6186,Designated Heritage Property,298 Grosvenor St,1905, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,522.5333746,110.315653071718
6187,Designated Heritage Property,873 Hellmuth Ave,1905c, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3257144,539.61013456,112.906387022305
6188,Designated Heritage Property,791 Wellington St,1935, ,Tudor Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,451.08010544,91.0234499357538
6189,Designated Heritage Property,308 Oxford St E,1902c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District, ,427.40670008,94.5203688318021
6190,Listed Heritage Property,950 Wellington St,1924,Hysen Property,Arts And Crafts, , , ,639.19742888,106.560787426726
6191,Designated Heritage Property,774 Hellmuth Ave,1906c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,442.2006612,108.072533143674
6192,Listed Heritage Property,1148 Richmond St,1864, ,Ontario Farmhouse, , , ,1031.54469144,161.585159211701
6193,Listed Heritage Property,866 Adelaide St N,1890c,Orange Hall, , , , ,369.56849592,85.2301959229573
6194,Designated Heritage Property,785 Wellington St,1945, ,Colonial Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,515.20018688,98.1099371682883
6195,Designated Heritage Property,1058 Richmond St,1929,Funston Property,English Cottage,IV, ,LSP3155243,217.42251968,60.6469576853419
6196,Listed Heritage Property,520 Huron St,1909, ,Italianate, , , ,5024.48837344,284.797083774887
6197,Listed Heritage Property,476 St James St,1883,Small Property,Ontario Cottage, , , ,741.7698672,109.613962857831
6198,Designated Heritage Property,799 Hellmuth Ave,1905,Bourque Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,291.31058962,76.9630373551467
6199,Designated Heritage Property,342 Grosvenor St,1885c,Mugan Property,Spanish Colonial,IV, ,LSP3333305,561.4460488,99.3923891936669
6200,Listed Heritage Property,9 Clenray Pl,1934, , , , , ,273.6633587,73.1511981652907
6201,Listed Heritage Property,509 Grosvenor St,1905, ,Queen Anne, , , ,594.34643152,117.316458040494
6202,Designated Heritage Property,784 Wellington St,1905c, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3121209,672.49967176,118.715790001523
6203,Listed Heritage Property,268 Regent St,1935,Goossens Property, , , , ,957.4826047,128.110540128395
6204,Listed Heritage Property,899 William St,1912, ,Late Victorian, , , ,510.422738,107.079749565658
