OBJECTID,Status,Address,YearBuilt,BuildingName,ArchitecturalStyle,DesignationPart,HeritageConservationDistrict,ByLaw,ShapeSTArea,ShapeSTLength
8588,Designated Heritage Property,13 Napier St,1880c, ,Italianate,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,503.05231464,112.604343224635
8589,Listed Heritage Property,164 Oxford St W,1899, ,Queen Anne Cottage, , , ,2615.01341792,252.977575906278
8590,Designated Heritage Property,42 Empress Ave,1880c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,522.088284,92.1046622565377
8591,Designated Heritage Property,15 St Andrew St,1877, ,Italianate,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,939.17935056,137.960150570234
8592,Designated Heritage Property,167 Wharncliffe Rd N,1870, ,Vernacular,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,534.22874864,106.770667283906
8593,Designated Heritage Property,678 Talbot St,1896c, ,Queen Anne,IV, ,LSP3423236,378.79377208,90.3578012044837
8594,Listed Heritage Property,98 Central Ave,1904c, ,Queen Anne, , , ,421.12872394,85.7573772073175
8595,Listed Heritage Property,90 Albert St,1870c, , , , , ,928.12251104,128.235091282019
8596,Designated Heritage Property,24 Blackfriars St,1870c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,863.6888584,139.337848360254
8597,Designated Heritage Property,672 Talbot St,1880c,Kowalchuk Property,Italianate,IV, ,LSP3365196,380.84121488,113.453065936243
8598,Listed Heritage Property,607 Talbot St,1874,Templar Property,Ontario Cottage, , , ,664.1066672,112.742301320208
8599,Listed Heritage Property,653 Talbot St,1908c,Cuddy Property,Georgian Revival, , , ,2250.15768912,226.939936962215
8600,Designated Heritage Property,24 Argyle St,1880c, , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,709.8004203,110.676324631614
8601,Listed Heritage Property,646 Talbot St,1874, ,Italianate, , , ,623.93119506,159.927820789166
8602,Designated Heritage Property,163 Oxford St W,1900, ,Queen Anne,IV, ,LSP3273382,844.3623944,123.09135074813
8603,Listed Heritage Property,150 Mill St,1881c, ,Side-hall Plan (shp) Cottage, , , ,329.22809408,88.9122511233164
8604,Listed Heritage Property,123 Mill St,1884c, ,Vernacular, , , ,233.52332656,62.6176061492522
8605,Listed Heritage Property,127 Mill St,1881p, ,Vernacular, , , ,407.49786608,108.78522763572
8606,Designated Heritage Property,18 Argyle St,1890c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,669.16706784,103.828613521538
8607,Designated Heritage Property,9 St Patrick St,1860, , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,1454.9906972,168.592635059378
8608,Designated Heritage Property,15 Argyle St,1890c, ,Late Victorian,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,491.3874664,89.061576094533
8609,Listed Heritage Property,116 Mill St,1875,Churchdown Enterpr's,Italianate, , , ,964.39598944,157.533777401078
8610,Listed Heritage Property,54 St George St,1897c, ,Queen Anne Cottage, , , ,347.09167688,90.9871653340838
8611,Listed Heritage Property,595 Talbot St,1884, ,Italianate, , , ,254.37016368,88.5616148360448
8612,Designated Heritage Property,163 Mill St,1880,Saddy Property,Regency,IV, ,LSP2916500,195.07465168,55.909172034871
8613,Designated Heritage Property,11 St Andrew St,1887c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,600.84735184,124.545436343931
8614,Designated Heritage Property,66 Blackfriars St,1870c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,538.66871304,107.545534633338
8615,Listed Heritage Property,135 Mill St,1890, , , , , ,415.48383672,110.230606694565
8616,Listed Heritage Property,58 St George St,1897c, ,Queen Anne Cottage, , , ,491.88963136,99.2363930472306
8617,Listed Heritage Property,186 Albert St,1881, ,Italianate, , , ,1308.97280976,182.060635148924
8618,Listed Heritage Property,199 Hyman St,1888c,Carriage House,High Victorian, , , ,415.72372176,91.3860292533304
8619,Listed Heritage Property,135 Albert St,1872c, ,Italianate, , , ,924.79694128,151.884524534043
8620,Listed Heritage Property,585 Talbot St,1877,Browne/burgard Prop.,Italianate, , , ,772.19311608,121.429826614065
8621,Listed Heritage Property,640 Talbot St,1874c, ,Italianate, , , ,451.9599712,108.978050914949
8622,Listed Heritage Property,180 Albert St,1891, ,High Victorian, , , ,913.57722584,171.256659284746
8623,Designated Heritage Property,154 Mill St,1868, ,Vernacular,IV, ,LSP3268272,235.21229496,81.7656580375373
8624,Designated Heritage Property,8 Empress Ave,1865c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,496.40643224,108.019653993248
8625,Designated Heritage Property,652 Talbot St,1868c, ,Eclectic,IV, ,LSP2761140,516.21003512,91.312942838647
8626,Listed Heritage Property,143 Central Ave,1902c, ,Queen Anne, , , ,380.94047224,115.241759240172
8627,Listed Heritage Property,611 Richmond St,1884c,Harrigan Property,Italianate, , , ,168.49969188,70.0456774633922
8628,Designated Heritage Property,72 Blackfriars St,1890c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,705.61375594,115.491779418805
8629,Listed Heritage Property,185 Central Ave,1881,Lewis Bakeries,Italianate, , , ,699.5737792,123.211121029881
8630,Designated Heritage Property,28 Napier St,1860c, ,Ontario Farmhouse,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,559.99371504,95.7848075048725
8631,Listed Heritage Property,131 Mill St,1881p, ,Vernacular, , , ,400.60145016,110.033124542673
8632,Listed Heritage Property,621 Richmond St,1900,Hunt Property,Italianate, , , ,229.13005048,76.2210279386403
8633,Listed Heritage Property,1092-1104 Sarnia Rd,1860,Phillips Property,Ontario Cottage, , , ,31142.11718568,878.026851557842
8634,Listed Heritage Property,157 Mill St,1893c, ,Vernacular, , , ,390.9389716,84.9735211258718
8635,Designated Heritage Property,14 Empress Ave,1860c, ,Ontario Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,1013.37297728,140.801085513143
8636,Listed Heritage Property,141 Mill St,1884, ,Side-hall Plan (shp) Cottage, , , ,415.3787368,109.35595158455
8637,Designated Heritage Property,144 Mill St,1863,Aaron Const'n Ltd.,Italianate,IV, ,LSP3268272,308.97570384,87.9708027904744
8638,Listed Heritage Property,135 Central Ave,1888c, ,Queen Anne, , , ,658.75101128,126.737820186484
8639,Listed Heritage Property,179 John St,1878,Papasideris Prop.,Queen Anne, , , ,388.37441472,99.9094103992353
8640,Listed Heritage Property,155 Mill St,1881c, ,Vernacular, , , ,195.47445088,71.4980521333181
8641,Designated Heritage Property,29 St Andrew St,1909, ,Vernacular,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,505.7992132,120.786159605213
8642,Listed Heritage Property,90-94 Central Ave,1876c,Bishop's Palace,Italianate, , , ,3458.577801985,240.337634512826
8643,Listed Heritage Property,1269 Hyde Park Rd,1880c,Horse And Hound,Italianate, , , ,12873.53046408,468.033496162801
8644,Designated Heritage Property,21 Empress Ave,1860c, , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,541.52345176,130.035536875822
8645,Listed Heritage Property,644 Talbot St,1874c, ,Italianate, , , ,402.78076272,111.50576626823
8646,Listed Heritage Property,176 Albert St,1881c, ,High Victorian, , , ,904.7952636,171.071834854386
8647,Designated Heritage Property,623 Richmond St,1902,Lindsay Property,Italianate,IV, ,LSP3074186,238.08271568,80.6152843956663
8648,Listed Heritage Property,611 Talbot St,1872,Gonczaruk Property,Italianate, , , ,673.98865824,113.243816491019
8649,Listed Heritage Property,145 Central Ave,1902, ,Queen Anne, , , ,396.94142648,115.801503484442
