OBJECTID,Theme,Layer,FeatureCode,LastEditDate,ShapeSTArea,ShapeSTLength
619,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,73.57135,36.2955047210681
620,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,104.2548,42.6638252600904
621,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,55.74115,31.7276378742518
622,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,83.06625,38.5668460641237
623,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,97.622152,45.1555353135552
624,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,66.68655,33.8388859269506
625,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,303.335269,72.5621290970801
626,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,57.0018,30.8378528451899
627,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,135.95125,48.4698129423548
628,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,90.05885,38.9665074558134
629,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,106.66635,44.1409940352084
630,Structures,Map 2D - Structures - Public Pool,EL30150000,2018/10/31 00:00:00+00,106.457469295,42.5734718660388
631,Structures,Map 2D - Structures - Public Pool,EL30150000,2020/08/31 00:00:00+00,104.08029556,42.5790862438359
632,Structures,Map 2D - Structures - Public Pool,EL30150000,2020/08/31 00:00:00+00,358.81020846,79.7632524970767
633,Structures,Map 2D - Structures - Public Pool,EL30150000,2020/08/31 00:00:00+00,52.09201203,29.4740674741084
634,Structures,Map 2D - Structures - Public Pool,EL30150000,2021/08/31 00:00:00+00,725.26623774,124.096787098323
635,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,434.34371225,124.118323590802
